,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
60,STARWARS Empireat War GoldPack,52021083,english,"good game enjoyed playing it.
the mods created by the community are also fun to play and offer nice changes to the game.
",1561821751,1561821751,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,106,5,11093,0,7280,1593118617
61,STARWARS Empireat War GoldPack,52008202,english,GOOD GAEM MUCH NOSTALGIA PLAY GAEM NOW,1561820397,1561820397,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,100,20,1459,0,905,1564393210
62,STARWARS Empireat War GoldPack,51996599,english,"After over 13 years, it still holds up as an amazing Star Wars strategy game with great atmosphere, varied and challenging gameplay and original Star Wars soundtrack. The mods and workshop integration make it worth getting it for the first time even today.",1561819172,1561819172,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,639,7,3508,139,3279,1602074413
63,STARWARS Empireat War GoldPack,51984665,english,Buy this game for the mods. But only pick it up on the steam sale for five bucks.,1561817937,1561817937,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,242,3,85733,0,59861,1587864443
64,STARWARS Empireat War GoldPack,51968692,english,A greaat classic RTS and made even better with workshop ssupport. Even if you don't like the pacing and style of the vanilla game I am sure you will find a mod that interests you. Lastly with multiplayer turned back on this is a great game to play with or against friends and a title that has aged well over the years.,1561816311,1561816311,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,174,2,21129,24,14469,1601318241
65,STARWARS Empireat War GoldPack,51943369,english,Good rts for those who like star wars universe.,1561813710,1561813710,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,220,8,1033,0,1033,1560369312
66,STARWARS Empireat War GoldPack,51940634,english,My favourite RTS game. Thanks to the modding community this game is being elevated into 2019 and repeatedly innovated.,1561813428,1561813428,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,105,3,2908,0,2681,1568730652
67,STARWARS Empireat War GoldPack,51932405,english,gg,1561812618,1561812618,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,333,4,5386,0,4137,1600448451
68,STARWARS Empireat War GoldPack,51915347,english,"Do you like Star Wars? Do you enjoy strategy games? Do you want to chase the rebellion with a ton of Star Destroyers? Do you want to obliterate planets with the Death Star? If so this is the perfect game for you. The vanilla game is very fun by itself but if you want a really good experience try the mods: Awakening of the rebellion, Republic at war, Empire at War Remake, Battlefront commander... It´s even better if you have a friend to play with since steam has opened dedicated servers.",1561810909,1561810909,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,99,1,22049,36,10376,1601649309
69,STARWARS Empireat War GoldPack,51902252,english,"The game is really good, the multiplayer is fun and the modding community is active and just amazing.",1561809652,1561809652,TRUE,5,0,0.544997215,1,TRUE,FALSE,FALSE,7.65612E+16,91,2,21072,143,14344,1601055828
70,STARWARS Empireat War GoldPack,51892807,english,"spotlight uh, moonlight uh",1561808753,1561808753,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,160,19,7523,0,5129,1599759672
71,STARWARS Empireat War GoldPack,51885016,english,Great RTS,1561808025,1561808025,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,379,2,16,0,16,1561593455
72,STARWARS Empireat War GoldPack,51881998,english,an old but good game and has a huge modding community,1561807749,1561807749,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,200,135,387,0,387,1560687488
