,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
20,Rising Storm 2 Vietnam,32066827,english,"Rising Storm 2: Vietnam

This game sucks but put on a Veitnam war soundtrack and it a 10/10 masterpiece

I tell ya.",1496164354,1601996844,TRUE,4,1,0.566929102,1,TRUE,FALSE,FALSE,7.65612E+16,264,14,569,0,569,1517765652
21,Rising Storm 2 Vietnam,77126261,english,It's free on epic games on 8th october 2020...check it out guys,1601990862,1601990862,TRUE,3,0,0.566929102,0,TRUE,FALSE,FALSE,7.65612E+16,5,4,52,52,52,1601567169
22,Rising Storm 2 Vietnam,77125905,english,murcia sux,1601990322,1601990322,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,71,28,20,0,20,1593146429
23,Rising Storm 2 Vietnam,77124995,english,"Great game,Really fun with friends",1601988897,1601988897,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,230,6,2700,267,2432,1602073398
24,Rising Storm 2 Vietnam,77109016,english,"Love the game, but man it can be stressful to play",1601955810,1601955810,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,19,1,2478,1384,2341,1602032258
25,Rising Storm 2 Vietnam,77104467,english,Its chill but its super laggy and wack,1601946561,1601946561,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,40,12,790,132,789,1602004731
26,Rising Storm 2 Vietnam,77094288,english,"I bought the game two weeks ago and now I found out its coming out on Epic Games for free and I cant refund it. but its a good game, waste of money though",1601927700,1601927700,TRUE,1,0,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,16,9,253,0,253,1600729617
27,Rising Storm 2 Vietnam,59750410,english,you run slow the mechanics all slow and stupid you die more then anything trying to aim or crouch the shooting makes 0 sence you cant get over any fucking obstacle you cant take cover anywhere its just another running simulator and die game im so sick of these pos fps games ALL OF THEM DONT BUY THIS unless u like vietnam n bad gaming mechanics XD,1576217231,1601924521,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,124,9,6659,209,6659,1601924399
28,Rising Storm 2 Vietnam,77085594,english,"""I gotta find bubba""",1601915471,1601915471,TRUE,1,1,0.525862038,0,TRUE,FALSE,FALSE,7.65612E+16,72,12,12996,675,12865,1601980951
29,Rising Storm 2 Vietnam,77080060,english,A nice mix of realistic combat without it becoming tedious,1601908016,1601908016,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,81,3,1852,100,1751,1601915472
30,Rising Storm 2 Vietnam,77073970,english,"I got to play the beta for this game way back in 2017, and I've since logged over 300 hours of playtime. While you should know that the game is more or less done with content, the stuff that's in the game is very fantastic. While there are some bugs here and there, there's nothing I can recall that's game breaking, rather more annoying than anything else. Community is, well, it's a Red Orchestra game, so expect the drudges of human society to show up. Overall, I'd say this game is an 8/10.

However, one thing I should note is that mod support is a little scuffed at the moment; essentially, servers cannot run stuff like the Winter War mod and the Gameplay Overhaul Mutator, without the server being unranked. So don't go into this expecting to play mods, at least for now.",1601899133,1601899133,TRUE,1,0,0.514285684,0,TRUE,FALSE,FALSE,7.65612E+16,211,10,22296,1517,22061,1602089658
31,Rising Storm 2 Vietnam,77067758,english,"""Anti-Ass defenses are active!""",1601887226,1601887226,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,79,16,12587,1006,12320,1602070405
32,Rising Storm 2 Vietnam,76594767,english,"Bugged server menu (spamms connecting to random servers and can't stop it), bugged weapons (can't aim down sight or shoot, dshk disappearing when you die), bugged movement ( jumping over an object and going back, or lagging after you go prone), the game is not worth 20 euros nor are the people behind it. Can't deliver a product in conditions.",1601124349,1601875855,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,8,3,78903,1678,78828,1601966756
33,Rising Storm 2 Vietnam,76367836,english,"Bugs, bugs, BUGS. Janky as all fuck, for god knows how many years this has been out. Your character will get caught on the terrain, randomly lower their weapon, or get stuck and vibrate on the spot - going prone is especially bad for this, it's like playing the lottery. Select a grenade, wait no it didn't work, try again, nope, try again, ok now it's out, now I'm dead. Or better yet, throw it, but don't actually throw it, only to throw it at your feet/a wall/your teammates. Devs would rather release cosmetic DLC than un-fuck the game, and now have just abandoned. 

Many of the maps are just bad but will be picked over and over again *cough Resort and Cu-Chi cough* by the braindead community. The winning condition is convoluted as fuck - you'll be playing a game where you're ok for time, doing well on objectives, then suddenly run out of tickets, with the enemy team still having well over a hundred. Or you'll have tickets but run out of time. Or get locked out of capture point, which is on yet another timer. Moreover, playing on the objective isn't nearly incentivized enough, resulting in people going off into the bush to look for kills, then acting surprised when they lose all the points.

Community is terrible too, if you happen to be one of the actually fun roles to play, like pilot or sniper, you'll invariably get kicked because someone else wants to play that role. To add insult to injury, you can't even rejoin the same server for a while, you'll get a connection time out error. Only on League of Legends have I played with bigger shitheads.",1600760788,1601872463,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,213,13,3701,642,3664,1601880499
34,Rising Storm 2 Vietnam,39167019,english,"I've been meaning to change this for awhile

Problems I came across --
 
- Sliders in the class load out screen are sometimes clunky
- Resolution could be improved
- ""Invalid Packet"" Error

What I would like to see --

- More vehicles
- If possible, Fully destructible environments


Otherwise, Great game, Great community. It reminds me of BFBC2V.",1515366529,1601862993,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,15,1,21983,1527,21831,1601949215
35,Rising Storm 2 Vietnam,77052261,english,"Honestly, do not recommend. 
I've put a lot of time into the game and was I really enjoying this game? or missing RO2? I have to say it seems more of the latter. This game is filled to the brim with some of the most annoying issues and the Devs just abandoned it. Having to reload twice to be able to shoot again, having to throw the same grenade twice just to get it off once, RPGs used as anti infantry instead of anti helicopter, bipods in general, how all the maps boil down to being trees and bushes as the best cover because of RPGs. They promised land vehicles but none came. I would not recommend buying it at this time, the only thing I really enjoy about this game is the game mode campaign, and that more so because of RO2 than anything to do with this game.",1601855521,1601855521,FALSE,1,0,0.476190478,0,TRUE,FALSE,FALSE,7.65612E+16,462,6,17842,1739,17814,1601855857
