date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2018-04-28,0,0,1263,False,Recommended,"More and more this game has the power to tick people off. Why isn't there a PTW section (paly to win) and a Causal section?? RL would say "" Because its no way to find good players and possible friends like that."" So lose and lose and lose until you find the right teammates who will play one game and leave. Back to losing losing losing. I love the game. Steam XB1 and PS4 I have it for. My skills aren't championship level but I base the game on teamwork to win. Causally playing for yourself and the lose/rage meter goes way up. Have a PTW and Causal section.",Rocket League®
2018-04-28,0,0,4,False,Recommended,Game is Epic D,Rocket League®
2018-04-28,0,0,3,False,Recommended,I like it.,Rocket League®
2018-04-28,0,0,246,False,Recommended,I love this game because it is fun and creative. Learning how to control your car is half the fun. All the different game modes add to the awesome experience. I would highly recommend this game to others looking for a fun and imaginative game!,Rocket League®
2017-11-21,0,0,765,False,Recommended,You can't swing a dead cat in this game without getting some trolls or smurf accounts Still love it dearly What A Save!/10,Rocket League®
2017-05-21,0,0,829,False,Recommended,I Like this game but there is a lot of cancers and we need a price list on the game cause the peoples dont know the prices fix your servers please cause sometimes i pass on the ball....,Rocket League®
2018-04-28,0,0,843,False,Recommended,best game,Rocket League®
2016-11-23,0,0,808,False,Recommended,This is really great game ),Rocket League®
2016-11-24,0,0,453,False,Recommended,Fun Game,Rocket League®
2016-11-24,0,0,644,False,Recommended,it's good,Rocket League®
2016-11-24,0,0,11,False,Recommended,Product received for free. cool games . can play with your friend . can play with controller . realy nice games ),Rocket League®
2016-11-24,0,0,1,False,Recommended,Can't stop playing this,Rocket League®
2016-08-14,0,0,743,False,Recommended,THIS IS AN AWESOME GAME GET IT GET IT NOW!,Rocket League®
2017-04-03,0,0,798,False,Recommended,The most addicting game I have ever played.,Rocket League®
2016-11-24,0,0,38,False,Recommended,best 20$ i spent on steam even though i have little hours i play on multiple platforms,Rocket League®
2016-11-24,0,0,876,False,Recommended,no,Rocket League®
2016-11-24,0,0,56,False,Recommended,Extremely fun and addicting! First game in a looong time that had me tilting the controller with every close call. You won't regret playing this game!,Rocket League®
2018-01-04,0,0,465,False,Recommended,It s peep worthy,Rocket League®
2018-09-02,0,0,4,False,Recommended,If you like remote control cars and football this is the game for you. Was introduced by a friend on the Xbox and I am completely hooked.,Rocket League®
2018-09-02,0,0,29,False,Recommended,its gud,Rocket League®
2018-09-02,0,0,76,False,Recommended,I hate racing games and I hate soccer...but put them together and you've created the best game ever!,Rocket League®
2017-03-07,0,0,190,False,Recommended,This game is pretty great I hahs good competitive values along with great customization with a very huge community. In my opinion this game hits hard in all the expectations you would expect from such a creative game.,Rocket League®
2018-04-06,0,0,456,False,Recommended,Overall this is a fun and family friendly game It could have some improvements however everygame could.. I think that the game is improving with the updates and in the future could become one of the best it features many different cars for different perferences and is one of the most competetive games i've partaken in recently.I think that the game is addictive (which is negative) however it features fully flexible game play and has great mechanics to the cars youre playing with The game is cross compatible with MOST consoles I have heared it's easier to play on controller because there is 360 degree turning capacity and on keyboard you are only offered 2 turning options.. Left and right. (a and d)Overall the game isn't pay to win and is cheap and great fun for the price you pay it features fun crates you can unbox with chances to win expensive items to make your car look way better and overall give a better playing experience.Personally I would recommend this game for all ages.,Rocket League®
2017-05-12,0,0,34,False,Recommended,The best game that i have played so far,Rocket League®
